index,bigger_df_0,1700_df_1
user_id,717924289483578112.00,1033987072296748544.00
Activity favourites_count average_diff,37.42,72.68
Activity favourites_count cv_diff,0.93,1.10
Activity favourites_count mad_diff,17.34,30.74
Activity favourites_count max_diff,231.28,458.30
Activity favourites_count median_diff,27.41,50.31
Activity favourites_count min_diff,-98.45,-166.43
Activity favourites_count range_diff,329.73,624.73
Activity favourites_count skew_diff,26.41,11.22
Activity favourites_count std_diff,76.54,155.50
Activity favourites_count var_diff,1602284.23,1267168.83
Activity followers_count average_diff,5.83,8.00
Activity followers_count cv_diff,0.37,0.87
Activity followers_count mad_diff,4.80,4.11
Activity followers_count max_diff,49.57,84.45
Activity followers_count median_diff,3.16,2.67
Activity followers_count min_diff,-18.39,-29.77
Activity followers_count range_diff,67.96,114.22
Activity followers_count skew_diff,18.40,8.86
Activity followers_count std_diff,17.27,28.48
Activity followers_count var_diff,126461.98,60190.63
Activity friends_count average_diff,1.46,0.99
Activity friends_count cv_diff,-0.00,2.05
Activity friends_count mad_diff,1.94,3.99
Activity friends_count max_diff,16.66,45.05
Activity friends_count median_diff,1.40,3.05
Activity friends_count min_diff,-15.39,-68.33
Activity friends_count range_diff,32.05,113.38
Activity friends_count skew_diff,28.84,12.66
Activity friends_count std_diff,8.02,28.84
Activity friends_count var_diff,8795.50,19503.07
Activity listed_count average_diff,0.27,0.16
Activity listed_count cv_diff,-0.67,-0.20
Activity listed_count mad_diff,1.43,0.88
Activity listed_count max_diff,5.04,2.25
Activity listed_count median_diff,0.27,0.21
Activity listed_count min_diff,-4.33,-1.98
Activity listed_count range_diff,9.36,4.22
Activity listed_count skew_diff,67.75,64.95
Activity listed_count std_diff,2.59,1.27
Activity listed_count var_diff,781.50,125.17
Activity statuses_count average_diff,32.15,50.57
Activity statuses_count cv_diff,0.67,1.62
Activity statuses_count mad_diff,11.08,21.63
Activity statuses_count max_diff,117.85,258.47
Activity statuses_count median_diff,23.93,38.36
Activity statuses_count min_diff,-3.34,-62.25
Activity statuses_count range_diff,121.19,320.72
Activity statuses_count skew_diff,18.57,5.89
Activity statuses_count std_diff,31.72,77.80
Activity statuses_count var_diff,33387.62,65963.47
Basic description average_edit_distance,4.67,35.12
Basic description cv_edit_distance,-0.83,-0.10
Basic description edit_distance_per_character,-0.79,0.30
Basic description mad_edit_distance,-0.22,5.14
Basic description max_edit_distance,5.73,44.94
Basic description median_edit_distance,4.60,34.72
Basic description min_edit_distance,3.74,26.29
Basic description mode_edit_distance,4.80,36.10
Basic description num_changes,0.25,1.69
Basic description range_edit_distance,1.13,18.32
Basic description skew_edit_distance,95.40,64.78
Basic description std_edit_distance,0.25,9.38
Basic description var_edit_distance,42.97,408.90
Basic full_name average_edit_distance,-0.39,7.50
Basic full_name cv_edit_distance,-0.94,-0.22
Basic full_name edit_distance_per_character,-0.91,0.26
Basic full_name mad_edit_distance,-0.91,0.35
Basic full_name max_edit_distance,-0.33,8.64
Basic full_name median_edit_distance,-0.39,7.47
Basic full_name min_edit_distance,-0.45,6.42
Basic full_name mode_edit_distance,-0.38,7.69
Basic full_name num_changes,0.08,1.25
Basic full_name range_edit_distance,-0.82,1.88
Basic full_name skew_edit_distance,98.72,78.24
Basic full_name std_edit_distance,-0.88,0.85
Basic full_name var_edit_distance,-0.36,9.72
Basic username average_edit_distance,-1.00,9.49
Basic username cv_edit_distance,-1.00,0.04
Basic username edit_distance_per_character,-1.00,0.82
Basic username mad_edit_distance,-1.00,0.16
Basic username max_edit_distance,-1.00,9.73
Basic username median_edit_distance,-1.00,9.50
Basic username min_edit_distance,-1.00,9.24
Basic username mode_edit_distance,-1.00,9.52
Basic username num_changes,0.00,1.23
Basic username range_edit_distance,-1.00,0.49
Basic username skew_edit_distance,100.00,88.19
Basic username std_edit_distance,-1.00,0.29
Basic username var_edit_distance,-1.00,1.13
Privacy Exists,0.02,0.07
Cluster,0.00,1.00
